,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Color
44,45,4.079339999999999,3.8,1.149,0.4,Iris-setosa,Bule
45,46,4.079339999999999,3.0,1.149,0.3,Iris-setosa,Bule
46,47,4.079339999999999,3.8,1.149,0.2,Iris-setosa,Bule
47,48,4.079339999999999,3.2,1.149,0.2,Iris-setosa,Bule
48,49,4.079339999999999,3.7,1.149,0.2,Iris-setosa,Bule
49,50,4.079339999999999,3.3,1.149,0.2,Iris-setosa,Bule
50,51,4.079339999999999,3.2,1.149,1.4,Iris-versicolor,Red
51,52,4.079339999999999,3.2,1.149,1.5,Iris-versicolor,Red
52,53,4.079339999999999,3.1,1.149,1.5,Iris-versicolor,Red
53,54,4.079339999999999,2.3,1.149,1.3,Iris-versicolor,Red
54,55,4.079339999999999,2.8,1.149,1.5,Iris-versicolor,Red
55,56,4.079339999999999,2.8,1.149,1.3,Iris-versicolor,Red
56,57,4.079339999999999,3.3,1.149,1.6,Iris-versicolor,Red
57,58,4.079339999999999,2.4,1.149,1.0,Iris-versicolor,Red
58,59,4.079339999999999,2.9,1.149,1.3,Iris-versicolor,Red
59,60,4.079339999999999,2.7,1.149,1.4,Iris-versicolor,Red
60,61,4.079339999999999,2.0,1.149,1.0,Iris-versicolor,Red
61,62,4.079339999999999,3.0,1.149,1.5,Iris-versicolor,Red
62,63,4.079339999999999,2.2,1.149,1.0,Iris-versicolor,Red
63,64,4.079339999999999,2.9,1.149,1.4,Iris-versicolor,Red
64,65,4.079339999999999,2.9,1.149,1.3,Iris-versicolor,Red
65,66,4.079339999999999,3.1,1.149,1.4,Iris-versicolor,Red
66,67,4.079339999999999,3.0,1.149,1.5,Iris-versicolor,Red
67,68,4.079339999999999,2.7,1.149,1.0,Iris-versicolor,Red
68,69,4.079339999999999,2.2,1.149,1.5,Iris-versicolor,Red
69,70,4.079339999999999,2.5,1.149,1.1,Iris-versicolor,Red
70,71,4.079339999999999,3.2,1.149,1.8,Iris-versicolor,Red
71,72,4.079339999999999,2.8,1.149,1.3,Iris-versicolor,Red
72,73,4.079339999999999,2.5,1.149,1.5,Iris-versicolor,Red
73,74,4.079339999999999,2.8,1.149,1.2,Iris-versicolor,Red
74,75,4.079339999999999,2.9,1.149,1.3,Iris-versicolor,Red
75,76,4.079339999999999,3.0,1.149,1.4,Iris-versicolor,Red
76,77,4.079339999999999,2.8,1.149,1.4,Iris-versicolor,Red
77,78,4.079339999999999,3.0,1.149,1.7,Iris-versicolor,Red
78,79,4.079339999999999,2.9,1.149,1.5,Iris-versicolor,Red
79,80,4.079339999999999,2.6,1.149,1.0,Iris-versicolor,Red
80,81,4.079339999999999,2.4,1.149,1.1,Iris-versicolor,Red
81,82,4.079339999999999,2.4,1.149,1.0,Iris-versicolor,Red
82,83,4.079339999999999,2.7,1.149,1.2,Iris-versicolor,Red
83,84,4.079339999999999,2.7,1.149,1.6,Iris-versicolor,Red
84,85,4.079339999999999,3.0,1.149,1.5,Iris-versicolor,Red
85,86,4.079339999999999,3.4,1.149,1.6,Iris-versicolor,Red
86,87,4.079339999999999,3.1,1.149,1.5,Iris-versicolor,Red
87,88,4.079339999999999,2.3,1.149,1.3,Iris-versicolor,Red
88,89,4.079339999999999,3.0,1.149,1.3,Iris-versicolor,Red
89,90,4.079339999999999,2.5,1.149,1.3,Iris-versicolor,Red
90,91,4.079339999999999,2.6,1.149,1.2,Iris-versicolor,Red
91,92,4.079339999999999,3.0,1.149,1.4,Iris-versicolor,Red
92,93,4.079339999999999,2.6,1.149,1.2,Iris-versicolor,Red
93,94,4.079339999999999,2.3,1.149,1.0,Iris-versicolor,Red
94,95,4.079339999999999,2.7,1.149,1.3,Iris-versicolor,Red
95,96,4.079339999999999,3.0,1.149,1.2,Iris-versicolor,Red
96,97,4.079339999999999,2.9,1.149,1.3,Iris-versicolor,Red
97,98,4.079339999999999,2.9,1.149,1.3,Iris-versicolor,Red
98,99,4.079339999999999,2.5,1.149,1.1,Iris-versicolor,Red
99,100,4.079339999999999,2.8,1.149,1.3,Iris-versicolor,Red
100,101,4.079339999999999,3.3,1.149,2.5,Iris-virginica,Green
101,102,4.079339999999999,2.7,1.149,1.9,Iris-virginica,Green
102,103,4.079339999999999,3.0,1.149,2.1,Iris-virginica,Green
103,104,4.079339999999999,2.9,1.149,1.8,Iris-virginica,Green
104,105,4.079339999999999,3.0,1.149,2.2,Iris-virginica,Green
105,106,4.079339999999999,3.0,1.149,2.1,Iris-virginica,Green
106,107,4.079339999999999,2.5,1.149,1.7,Iris-virginica,Green
107,108,4.079339999999999,2.9,1.149,1.8,Iris-virginica,Green
108,109,4.079339999999999,2.5,1.149,1.8,Iris-virginica,Green
109,110,4.079339999999999,3.6,1.149,2.5,Iris-virginica,Green
110,111,4.079339999999999,3.2,1.149,2.0,Iris-virginica,Green
111,112,4.079339999999999,2.7,1.149,1.9,Iris-virginica,Green
112,113,4.079339999999999,3.0,1.149,2.1,Iris-virginica,Green
113,114,4.079339999999999,2.5,1.149,2.0,Iris-virginica,Green
114,115,4.079339999999999,2.8,1.149,2.4,Iris-virginica,Green
115,116,4.079339999999999,3.2,1.149,2.3,Iris-virginica,Green
116,117,4.079339999999999,3.0,1.149,1.8,Iris-virginica,Green
117,118,4.079339999999999,3.8,1.149,2.2,Iris-virginica,Green
118,119,4.079339999999999,2.6,1.149,2.3,Iris-virginica,Green
119,120,4.079339999999999,2.2,1.149,1.5,Iris-virginica,Green
120,121,4.079339999999999,3.2,1.149,2.3,Iris-virginica,Green
121,122,4.079339999999999,2.8,1.149,2.0,Iris-virginica,Green
122,123,4.079339999999999,2.8,1.149,2.0,Iris-virginica,Green
123,124,4.079339999999999,2.7,1.149,1.8,Iris-virginica,Green
124,125,4.079339999999999,3.3,1.149,2.1,Iris-virginica,Green
125,126,4.079339999999999,3.2,1.149,1.8,Iris-virginica,Green
126,127,4.079339999999999,2.8,1.149,1.8,Iris-virginica,Green
127,128,4.079339999999999,3.0,1.149,1.8,Iris-virginica,Green
128,129,4.079339999999999,2.8,1.149,2.1,Iris-virginica,Green
129,130,4.079339999999999,3.0,1.149,1.6,Iris-virginica,Green
130,131,4.079339999999999,2.8,1.149,1.9,Iris-virginica,Green
131,132,4.079339999999999,3.8,1.149,2.0,Iris-virginica,Green
132,133,8.664999999999987,2.8,1.149,2.2,Iris-virginica,Green
133,134,8.664999999999987,2.8,1.149,1.5,Iris-virginica,Green
134,135,4.079339999999999,2.6,1.149,1.4,Iris-virginica,Green
135,136,4.079339999999999,3.0,1.149,2.3,Iris-virginica,Green
136,137,4.079339999999999,3.4,1.149,2.4,Iris-virginica,Green
137,138,4.079339999999999,3.1,1.149,1.8,Iris-virginica,Green
138,139,4.079339999999999,3.0,1.149,1.8,Iris-virginica,Green
139,140,4.079339999999999,3.1,1.149,2.1,Iris-virginica,Green
140,141,4.079339999999999,3.1,1.149,2.4,Iris-virginica,Green
141,142,4.079339999999999,3.1,1.149,2.3,Iris-virginica,Green
142,143,4.079339999999999,2.7,1.149,1.9,Iris-virginica,Green
143,144,4.079339999999999,3.2,1.149,2.3,Iris-virginica,Green
144,145,4.079339999999999,3.3,1.149,2.5,Iris-virginica,Green
145,146,4.079339999999999,3.0,1.149,2.3,Iris-virginica,Green
146,147,4.079339999999999,2.5,1.149,1.9,Iris-virginica,Green
147,148,4.079339999999999,3.0,1.149,2.0,Iris-virginica,Green
148,149,4.079339999999999,3.4,1.149,2.3,Iris-virginica,Green
149,150,4.079339999999999,3.0,1.149,1.8,Iris-virginica,Green
